Tipo Expansão,Ano 2012,Ano 2015,Cenário
Expansão Centralizada,588,741,26. Carvão financiado com redução de 20% no CAPEX
Expansão por GD,100,65,26. Carvão financiado com redução de 20% no CAPEX
Expansão Centralizada,589,741,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Expansão por GD,100,65,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Expansão Centralizada,593,747,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Expansão por GD,100,65,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Expansão Centralizada,582,734,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Expansão por GD,100,65,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Expansão Centralizada,636,801,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão por GD,100,65,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão Centralizada,594,748,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Expansão por GD,100,65,29. GN Pré-Sal ao preço de US$ 6/MMBtu
Expansão Centralizada,594,749,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Expansão por GD,100,65,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Expansão Centralizada,692,872,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Expansão por GD,100,65,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Expansão Centralizada,581,732,8. Repotenciação de UHE
Expansão por GD,100,65,8. Repotenciação de UHE
Expansão Centralizada,587,740,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Expansão por GD,100,65,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Expansão Centralizada,743,936,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Expansão por GD,100,65,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Expansão Centralizada,573,722,61. Carvão financiado com redução de 20% no CAPEX
Expansão por GD,100,65,61. Carvão financiado com redução de 20% no CAPEX
Expansão Centralizada,568,716,43. Repotenciação de UHE
Expansão por GD,100,65,43. Repotenciação de UHE
Expansão Centralizada,573,722,55. Redução de 45% no CAPEX de Usina Nuclear
Expansão por GD,100,65,55. Redução de 45% no CAPEX de Usina Nuclear
Expansão Centralizada,592,745,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Expansão por GD,100,34,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Expansão Centralizada,573,722,56. Redução de 50% no CAPEX de Usina Nuclear
Expansão por GD,100,65,56. Redução de 50% no CAPEX de Usina Nuclear
Expansão Centralizada,621,782,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Expansão por GD,100,65,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Expansão Centralizada,575,724,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão por GD,100,65,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão Centralizada,570,718,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Expansão por GD,100,65,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Expansão Centralizada,587,739,42. Sobrecusto de 100% no CAPEX de PCH
Expansão por GD,100,65,42. Sobrecusto de 100% no CAPEX de PCH
Expansão Centralizada,585,737,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Expansão por GD,100,65,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Expansão Centralizada,169,213,36. Estagnação
Expansão por GD,100,38,36. Estagnação
Expansão Centralizada,549,691,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão por GD,100,65,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão Centralizada,604,761,24. Expansão de 8.000 MW de Usinas Nucleares
Expansão por GD,100,65,24. Expansão de 8.000 MW de Usinas Nucleares
Expansão Centralizada,613,772,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Expansão por GD,100,65,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Expansão Centralizada,560,705,62. Capacidade Instalada de GD alcança 75 GW em 2050
Expansão por GD,100,97,62. Capacidade Instalada de GD alcança 75 GW em 2050
Expansão Centralizada,588,741,32. UHEs em áreas de interferência com CAPEX dobrado
Expansão por GD,100,65,32. UHEs em áreas de interferência com CAPEX dobrado
Expansão Centralizada,626,789,10. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% maior
Expansão por GD,100,65,10. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% maior
Expansão Centralizada,577,727,27. Capacidade Instalada de GD alcança 75 GW em 2050
Expansão por GD,100,97,27. Capacidade Instalada de GD alcança 75 GW em 2050
Expansão Centralizada,630,794,2. Matriz Elétrica com expansão 100% renovável
Expansão por GD,100,65,2. Matriz Elétrica com expansão 100% renovável
Expansão Centralizada,610,768,25. Expansão de 10.000 MW de Usinas Nucleares
Expansão por GD,100,65,25. Expansão de 10.000 MW de Usinas Nucleares
Expansão Centralizada,169,213,1. Estagnação
Expansão por GD,100,39,1. Estagnação
Expansão Centralizada,574,723,39. Potencial Hidrelétrico Inventariado com áreas de interferência
Expansão por GD,100,65,39. Potencial Hidrelétrico Inventariado com áreas de interferência
Expansão Centralizada,746,940,6. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Expansão por GD,100,65,6. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
Expansão Centralizada,571,720,45. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% maior
Expansão por GD,100,65,45. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% maior
Expansão Centralizada,588,741,20. Redução de 45% no CAPEX de Usina Nuclear
Expansão por GD,100,65,20. Redução de 45% no CAPEX de Usina Nuclear
Expansão Centralizada,589,742,34. UHEs em áreas de interferência com Unidades de Conservação (UC) com CAPEX dobrado
Expansão por GD,100,65,34. UHEs em áreas de interferência com Unidades de Conservação (UC) com CAPEX dobrado
Expansão Centralizada,476,599,19. Repotenciação e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão por GD,100,65,19. Repotenciação e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão Centralizada,573,722,57. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Expansão por GD,100,65,57. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
Expansão Centralizada,586,739,18. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50% maior na entressafra
Expansão por GD,100,65,18. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50% maior na entressafra
Expansão Centralizada,610,769,28. Capacidade Instalada de GD limitada a 25 GW em 2050
Expansão por GD,68,34,28. Capacidade Instalada de GD limitada a 25 GW em 2050
Expansão Centralizada,570,718,58. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Expansão por GD,100,65,58. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Expansão Centralizada,576,726,30. Potencial Inventariado Total exceto UHEs em áreas de interferência com Unidades de Conservação (UC)
Expansão por GD,100,65,30. Potencial Inventariado Total exceto UHEs em áreas de interferência com Unidades de Conservação (UC)
Expansão Centralizada,573,722,50. Eólica Offshore com 20% de redução de CAPEX
Expansão por GD,100,65,50. Eólica Offshore com 20% de redução de CAPEX
Expansão Centralizada,471,594,54. Repotenciação e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão por GD,100,65,54. Repotenciação e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão Centralizada,579,730,9. Integração Elétrica com países da América do Sul
Expansão por GD,100,65,9. Integração Elétrica com países da América do Sul
Expansão Centralizada,588,741,15. Eólica Offshore com 20% de redução de CAPEX
Expansão por GD,100,65,15. Eólica Offshore com 20% de redução de CAPEX
Expansão Centralizada,582,733,35. UHEs com interferência após 2040
Expansão por GD,100,65,35. UHEs com interferência após 2040
Expansão Centralizada,691,870,40. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Expansão por GD,100,65,40. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
Expansão Centralizada,570,718,47. Frota de veículos leves integralmente elétrica em 2050
Expansão por GD,100,65,47. Frota de veículos leves integralmente elétrica em 2050
Expansão Centralizada,589,742,4. Potencial Hidrelétrico Inventariado sem áreas de interferência
Expansão por GD,100,65,4. Potencial Hidrelétrico Inventariado sem áreas de interferência
